#Frequency,Velocity,Velstd
6.500,732.027,0.000000000
7.000,601.771,0.000000000
7.500,471.516,0.000000000
8.000,334.672,0.000000000
8.500,301.108,0.000000000
9.000,288.895,0.000000000
9.500,276.499,0.000000000
10.000,262.913,0.000000000
10.500,253.483,0.000000000
11.000,244.225,0.000000000
11.500,235.582,0.000000000
12.000,229.481,0.000000000
12.500,224.571,0.000000000
13.000,219.894,0.000000000
13.500,215.899,0.000000000
14.000,212.336,0.000000000
14.500,208.578,0.000000000
15.000,204.820,0.000000000
15.500,203.262,0.000000000
16.000,202.711,0.000000000
16.500,202.192,0.000000000
17.000,202.145,0.000000000
17.500,200.622,0.000000000
18.000,197.540,0.000000000
18.500,194.015,0.000000000
19.000,190.376,0.000000000
19.500,186.335,0.000000000
20.000,183.685,0.000000000
20.500,182.594,0.000000000
21.000,181.946,0.000000000
21.500,181.754,0.000000000
22.000,182.767,0.000000000
22.500,184.007,0.000000000
23.000,185.247,0.000000000
23.500,186.662,0.000000000
24.000,187.575,0.000000000
24.500,187.668,0.000000000
25.000,187.331,0.000000000
25.500,186.511,0.000000000
26.000,185.516,0.000000000
26.500,184.520,0.000000000
27.000,183.190,0.000000000
27.500,182.149,0.000000000
28.000,180.471,0.000000000
28.500,178.732,0.000000000
